Region,Formation,Member,AgeEnd,AgeEarly,Supporting References,Notes,Other age details or opinions,Correlation,Other opinions on correlations
Cuba,Cayo Piedras,Guanal,0,0.781,Castellanos 2011; Franco et al 1992,,"The Guanal likely appears into the Wisconsinin and might extend earlier than the Wisconsinin, i.e. into the lower Late or even Middle Pleistocene.","Cocodrilo overlies and laterally grades into the Guanal. Cerro Caudal also overlies Guanal. Implied correlation between the Cocodrilo and the La Cabana and Salado fms (Castellanos et al 2003, Castellanos 2011).",
Cuba,Cayo Piedras,Cerro Caudal,0,0.075,Castellanos 2011; Franco et al 1992,,,,
Cuba,Cayo Piedras,Santa Isabel,0,0.075,Castellanos 2011; Franco et al 1992,,Franco's correlation of Santa Isabel with the La Cabana would suggest Wisconsinin (late Upper Pleistocene),,
Cuba,Cocodrillo,,0,0.075,Castellanos 2011,Castellanos 2011 considered the unit a fm rather than mbr of Cayo Piedras,Castellanos (2011) plotted Cocodrilo fm as late Upper Pleistocene. See notes for Cayo Piedras in this correlation. ,"Correlated with La Cabana, Versalles, and Lopez Orta fms. Santa Isabel grades laterally into Cerro Caudal mbr. Cocodrilo overlies and laterally grades into the Guanal. Cerro Caudal also overlies Guanal. Implied correlation between the Cocodrilo and the La Cabana and Salado fms (Castellanos et al 2003, Castellanos 2011).",
Cuba,La Cabaña,,0,0.075,"Castellanos et al 2003, Castellanos 2011",,"Includes recent fossils (Franco et al 1992). Overlies the Jaimanitas, so must be Upper Pleistocene and younger. Castellanos et al (2003) discussed La Cabana and Salada fms as Wisconsinan (uppermost Pleistocene , younger than 75ky).",Correlates with Santa Isabel mbr of Cayo Piedras.,
Cuba,Jaimanitas,,0.075,0.126,"Castellanos et al 2003, Castellanos 2011, Rojas-Agramonte et al 2005, ","The first Pleistocene terrace in the Sierra Maestra area (Rojas-Agramonte et al 2005), and the most widespread Quaternary unit in Cuba (Franco et al 1992). Includes Punta Monje and Tortuguilla mbrs.","Late Pleistocene; not older than 1.75 or younger than 0.01 (Rojas-Agramonte et al 2005). Castellanos et al 2003 discussed a lower Upper Pleistocene deposition (interglacial Sangomonian, 75-125 ky), consistent with Castellanos 2011.",Punta Monje and Tortuguilla mbrs laterally grade into each other.,
Cuba,Versalles,,0.126,0.781,Franco et al 1992,Reef complex (Franco et al 1992),Middle Pleistocene (Franco et al 1992).,Correlates with La Cabana in Western Cuba. Unconformably overlies the Canimar. ,
Cuba,Punta del Este,,1.6,3.6,Franco et al 1992,reef lmst deposits on Isla de la Juventud,"Upper Pliocene to Lower Pleistocene (Franco et al 1992). See also notes on the Vedado, a better constrained unit and possible equivalent.",May be related to the Vedado fm (also in W Cuba); both are PlioPleistocene reef lm according to Franco et al 1992. The proposed equivalent in the East is the Rio Maya. Conformably overlies and laterally grades with the Guane. Also a lateral equivalent to Vedado. Unconformably overlies the Guines and Paso Real fms. Unconformably underlies the Cayo Piedras.,
Cuba,Río Maya,,1.6,3.6,Franco et al 1992,Reef complex (Franco et al 1992),"Late Pliocene to early Pleistocene (Franco et al 1992, Cabrera Castellanos et al 2003). See also notes on the Vedado, a better constrained unit and possible equivalent.","Could be eastern equivalent of Vedado and Punta del Este fms in west. Unconformably overlies Baracoa, Cabo Cruz, La Cruz, San Antonia, and Baitiquiri units. Unconformably overlain by undifferentiated Baracoa and Punta Monje and Tortuguilla mbrs of Jaimanitas. The Rio Maya overlies Yacabo mbr of Punta Imias fm (Franco et al 1992).",
Cuba,Yucayo,,1.6,2.58,Franco et al 1992,Informal; Franco et al 1992 considered the unit synonymous with Matanzas fm of Spencer 1984 and 1985 papers.,"Lower Pleistocene (Franco et al 1992). Lower age should be upper bound of El Abra mbr (Canimar fm) and upper age below the lower bound of Versalles, based on stratigraphic relationships. ",Unconformably overlies the El Abra mbr of the Canimar fm. Unconformably underlies the Versalles fm.,
Cuba,Canímar,Undifferentiated,1.8,7.2,Vinola-Lopez and Rojas-Consuegra 2016; Diaz-Franco and Rojas-Consuegra 2009; Schweitzer et al 2006,Includes Abra and Maíca members. NW of Matanzas province,"Schweitzer et al 2006 present a log with undifferentiated Canimar in the upper half ot the Late Miocene, below the El Abra (approximately the age range of the Messinian). Franco et al 1992 speculate at a Late Pliocene to possible late Lower Pleistocene deposition. The El Abra contains reworked clasts from the Upper Cretaceous and Neogene, but the most likely age for a fossil fish from the unit is late Pliocene, during the maximal regression (Diaz-Franco and Rojas-Consuegra 2009). The authors do not assert confidence in any more specific age range for the fossil than Plio-Pleistocene, however. Vinola-Lopez and Rojas-Consuegra 2016  described another fish from the Canimar and cited the age as Pliocene based on the 2011 update to Franco et al Lexicon.",El Abra and Maica mbrs laterally grade.,
Cuba,Vedado,,1.8,2.58,"Maurasse 1990 plate 5a, Franco et al 1992",Reef complex (Franco et al 1992),"Maurasse plotted the Vedado from the Early-Late Pliocene boundary through to just below the Plio-Pleist boundary, with an unmistakable unconformity below and questionable one above. Note that the Plio-Pleist boundary was set at 1.6 Ma then, not 2.58 as today. Franco et al. gave an age range of Upper Pliocene to Lower Pleistocene. The conformable relationship above the El Abra mbr of the Canimar would suggest a lower bound at the present Plio-Pleistocene boundary, 2.58 Ma.","May be related to the Punta del Este fm (also in W Cuba); both are PlioPleistocene reef lm according to Franco et al 1992. The proposed equivalent in the East is the Rio Maya. Laterally grades into Cainimar, Guane and Punta del Este fms. Comformably overlies Canimar (undifferentiated part and the El Abra and Maica mbrs). Unconformably overlies Cojimar, Guines, and Paso Real. Unconformably underlies Cayo Piedras, Guanabo, and Villarroja. ",
Cuba,Canímar,Abra,2.58,3.6,Vinola-Lopez and Rojas-Consuegra 2016; Diaz-Franco and Rojas-Consuegra 2009; Schweitzer et al 2006,,"Schweitzer et al 2006 present a log with undifferentiated Canimar in the upper half ot the Late Miocene, below the El Abra. Franco et al 1992 speculate at a Late Pliocene to possible late Lower Pleistocene deposition. The El Abra contains reworked clasts from the Upper Cretaceous and Neogene, but the most likely age for a fossil fish from the unit is late Pliocene, during the maximal regression (Diaz-Franco and Rojas-Consuegra 2009). The authors do not assert confidence in any more specific age range for the fossil than Plio-Pleistocene, however. Vinola-Lopez and Rojas-Consuegra 2016  described another fish from the Canimar and cited the age as Pliocene based on the 2011 update to Franco et al Lexicon.",El Abra and Maica mbrs laterally grade.,
Cuba,Demajagua,,2.58,3.6,Franco et al 1992,Informal unit. Synonymous with the Salvador mbr of Ramon fm. Fossiliferous; sublittoral with some reefs.,Upper Pliocene (Franco et al 1992),Bounded by unconformities; overlies Manzanillo.,
Cuba,La Cruz,Tejar,2.58,11,Franco et al 1992,,Late Miocene to earliest Pliocene (Franco et al 1992).,Conformably overlies the Quintero mbr and underlies the Santiago mbr.,"Woodring 1928 p. 61 seems to have correlated the La Cruz with the Bowden fm (Jamaica). See notes on the Bowden here, which suggest age is ca 3-4 Ma."
Cuba,Baracoa,,3.2,16,Franco et al 1992,Redescribed in Franco 1980a,latest Late Miocene to Lower Pliocene (Franco et al 1992). The lower bound must be younger than 16 Ma based on relationship above Maquey and San Antonio fms.,"Unconformably overlies Maquey, Sabaneta (Paleocene), and San Antonio fms. Unconformably underlies Maya River. Correlated with Bellamar, Júcaro, La Cruz (Mbar Tejar), Manzanillo and Punta Imías in Cuba and Bowden in Jamaica. Note that Manzanillo is much older according to Maurasse 1990, however.",
Cuba,La Cruz,Undifferentiated,3.4,11,"Rojas-Agramonte et al 2005, Campos 1972, Pardo 2009","Different unit from the Cabo Cruz. Lewis and Straczek 1955 USGS report pp. 272-275 gives fossil fauna lists. Includes Quintero, Tejar and Santiago mbrs.","Late Miocene to Early Pliocene. The Quintero mbr is a basal conglomerate that lacks fossils and based on stratigraphic position is estimated at Middle-Late Miocene (Franco et al 1992). Thus, the fossiliferous portion is constrained to the upper 2 units. Pardo (2009) mentions the unit only briefly, noting it as upper Miocene.",,"Woodring 1928 p. 61 seems to have correlated the La Cruz with the Bowden fm (Jamaica). See notes on the Bowden here, which suggest age is ca 3-4 Ma."
Cuba,La Cruz,Santiago,3.4,5.3,Franco et al 1992,,Early Pliocene (Franco et al 1992).,Conformably overlies the Tejar mbr of La Cruz. Quaternary gravels above.,"Woodring 1928 p. 61 seems to have correlated the La Cruz with the Bowden fm (Jamaica). See notes on the Bowden here, which suggest age is ca 3-4 Ma."
Cuba,Júcaro,,3.6,11.63,"Pardo 2009, Pantelényi and Garcés 1988","Very rich fauna of mollusks, echinoids, calcareous algae, foraminifera, and nannoplankton' according to Pardo.",Late Miocene to Lower Pliocene (Pantelényi and Garcés 1988; Pardo 2009). ,Unconformably underlies Jaimanitas. Conformably overlies the Jagueyes.,
Cuba,Imías,Undifferentiated,3.6,16,Cobiella et al 1977,"Lagoonal to sublittoral. The name Punta Imías may be used to avoid confusion with the invalid Imías unit of Kozary 1954 (year of publication questionable). As with the [Rio] Jagueyes, however, Pardo prefers the unmodified version of the name (in this case, Imias).","Cobielle et al (1977) discuss the unit and propose a Middle to Pliocene age. Forams place samples from Macambo in the Middle Miocene and samples closer to Yacabo date to the Upper Miocene. Otracodes from the same locality near Yacabo are less precise, with an age estimate ranging from Upper Miocene to Pleistocene. The authors cite oral correspondence with Iturralde-Vinent, who also found Pliocene evidence at the top of the Imias. Franco et al (1992) later changed the name (Imias to Punta Imias) and definition of the Imias, such that the Guardarraya was demoted from a fm and lumped into the Imias. Thus, Cobielle's estimate may apply to the Yacabo, while the Guardarraya may be older.",Correlates with El Abra mbr of Canimar fm.,
Cuba,Imías,Yacabo,3.6,5.3,Franco et al 1992,,"Late Lower Pliocene (Franco et al 1992). Based on the correlation of the Imas with the El Abra (2.58-3.6 unit in this compilation), the Yacabo might extend into the Upper Pliocene, however.",Guardarraya (lower mbr) grades up into Yacabo (upper mbr). ,
Cuba,Bellamar,Undifferentiated,5.3,11.6,Franco et al 1992,"Partially synonymous with Matanzas grp and Canímar (P.J.Bermúdez, 195O), Cojímar (C.Ducloz, 1963), Cojímar (P.J.Bermúdez, 1967), and Capas de Gypsina (A. de la Torre, 1966) fms. Sub- to infra- littoral.",Franco et al list the age as Late Miocene.,Unconformably overlies Caobas and Guines. Unconformably underlies Vedado and the undifferentiated part of Canimar.,
Cuba,Bellamar,Cárdenas,5.3,11.6,Franco et al 1992,"Partially synonymous with Matanzas grp and Canímar (P.J.Bermúdez, 195O), Cojímar (C.Ducloz, 1963), Cojímar (P.J.Bermúdez, 1967), and Capas de Gypsina (A. de la Torre, 1966) fms. Sub- to infra- littoral.",Franco et al list the age as Late Miocene. ,,
Cuba,Bellamar,El Maíz,5.3,11.6,Franco et al 1992,"Partially synonymous with Matanzas grp and Canímar (P.J.Bermúdez, 195O), Cojímar (C.Ducloz, 1963), Cojímar (P.J.Bermúdez, 1967), and Capas de Gypsina (A. de la Torre, 1966) fms. Sub- to infra- littoral.","Franco et al. estimated the age at Late Miocene to lower Pliocene. Schweitzer et al 2006 plot the El Maiz from slightly below the Middle-Late Miocene boundary (ca 11.5 Ma) to the end of the Late Miocene (ca 5.3 Ma), i.e. not extending into the Pliocene.",,
Cuba,Cabo Cruz,Undifferentiated,5.3,13.8,"Franco et al 1992, Pardo 2009",,"late Middle to Late Miocene (Franco et al 1992). Pardo (2009) aggrees, giving an age of middle to upper Miocene, possibly up to the Pliocene. In this correlation, 'late Middle' is estimated as the Langhian-Serravallian boundary, 13.82 Ma.",Correlates with Loma Triana,
Cuba,Cárdenas,,5.3,11.6,Franco et al 1992,sublittoral,Late Miocene (Franco et al 1992).,"Correlates with lower Baracoa, Juracaro, La Cruz and Manzanillo",
Cuba,Güines,,5.3,23,"Iturralde-Vinent 1969, 2001, Pardo 2009","Iturradle-Vinent et al 1996 claimed there were no molluscs, but there were marine vertebrate fossils. However, Paredo 2009 noted 'very abundant mollusks' as well as corals.","Iturralde-Vinent 1968 plotted lower boundary in late Aquitatnian, with a top surface unconformity at the Middle-Upper Miocene boundary. Iturralde-Vinent 1969 stated the age as Middle Miocene, upper M2 through M5, which we infer as 10-15 Ma. Maurasse 1990 plotted a section in South Central Cuba (Zaza) spanning the entire Miocene, and a section in Central Cuba (platform) spanning the Late Miocene through entire Pliocene. Franco et al 1992 estimated the age as upper Lower Miocene to lower Late Miocene, which agrees well with Iturralde-Vinent's general range. Iturralde-Vinent et al 1996 discuss the Guines as Lower-Middle Miocene. Schweitzer et al 2006 present a log with the Guines from ca 10-16 Ma. Pardo plotted the Guines in a correlative log as spanning the entire Miocene in the Northern Coast, but only Middle-Upper Miocene in the Southern basins.",The Guines/Vasquez fms overly the Los Arabos fm at an unconformity. The Los Arabos and Vasquez fms don't contain macrofossils. Pardo considers the Rosario and Cojimar fms to be partial equivalents to the Guines.,
Cuba,Imías,Guardarraya,5.3,16,Franco et al 1992,Demoted from fm to mbr status,Late Miocene to Lower Pliocene (Franco et al 1992).,Guardarraya (lower mbr) grades up into Yacabo (upper mbr). ,
Cuba,Loma Triana,,7.2,13.8,Franco et al 1992,,"Franco et al describe age as upper Middle to lower Late Miocene. In this correlation, these vaugue estimates are equated to the Langhian-Serrravallian and Tortonian-Messinian boundaries, respectively.",Correlates with Cabo Cruz,
